msgTime,liquidLevelValue,liquidLevel_clean,is_outlier
2025/6/15 0:00,12.95,12.95,0
2025/6/15 1:00,13.015,13.015,0
2025/6/15 2:00,13.1,13.1,0
2025/6/15 3:00,12.84,12.84,0
2025/6/15 4:00,12.944,12.944,0
2025/6/15 5:00,13.047,13.047,0
2025/6/15 6:00,13.44,13.44,0
2025/6/15 7:00,13.64,13.64,0
2025/6/15 8:00,13.5,13.5,0
2025/6/15 9:00,13.306,13.306,0
2025/6/15 10:00,12.677,12.677,0
2025/6/15 11:00,12.7,12.7,0
2025/6/15 12:00,12.5,12.5,0
2025/6/15 13:00,12.48,12.48,0
2025/6/15 14:00,12.547,12.547,0
2025/6/15 15:00,12.838,12.838,0
2025/6/15 16:00,12.927,12.927,0
2025/6/15 17:00,12.993,12.993,0
2025/6/15 18:00,12.875,12.875,0
2025/6/15 19:00,12.833,12.833,0
2025/6/15 20:00,12.792,12.792,0
2025/6/15 21:00,12.747,12.747,0
2025/6/15 22:00,12.68,12.68,0
2025/6/15 23:00,12.72,12.72,0
2025/6/16 0:00,12.688,12.688,0
2025/6/16 1:00,12.56,12.56,0
2025/6/16 2:00,12.864,12.864,0
2025/6/16 3:00,13.106,13.106,0
2025/6/16 4:00,13.467,13.467,0
2025/6/16 6:00,13.662,13.662,0
2025/6/16 7:00,13.787,13.787,0
2025/6/16 8:00,13.862,13.862,0
2025/6/16 9:00,13.8,13.8,0
2025/6/16 10:00,13.519,13.519,0
2025/6/16 11:00,14.14,14.14,0
2025/6/16 12:00,13.547,13.547,0
2025/6/16 13:00,13.8,13.8,0
2025/6/16 14:00,14.06,14.06,0
2025/6/16 16:00,13.02,13.02,0
2025/6/16 17:00,13.287,13.287,0
2025/6/16 18:00,14.06,14.06,0
2025/6/16 19:00,13.412,13.412,0
2025/6/16 20:00,12.56,12.56,0
2025/6/16 21:00,13.156,13.156,0
2025/6/16 22:00,13.6,13.6,0
2025/6/16 23:00,13.16,13.16,0
2025/6/17 0:00,12.767,12.767,0
2025/6/17 1:00,12.8,12.8,0
2025/6/17 2:00,12.531,12.531,0
2025/6/17 3:00,13.009,13.009,1
2025/6/17 4:00,12.69,12.69,1
2025/6/17 5:00,13.388,13.388,1
2025/6/17 6:00,12.925,12.925,1
2025/6/17 7:00,13.5,13.5,1
2025/6/17 8:00,12.527,12.527,1
2025/6/17 9:00,11.629,11.629,1
2025/6/17 10:00,10.94,10.94,1
2025/6/17 11:00,9.869,9.869,1
2025/6/17 12:00,9.8,9.8,1
2025/6/17 13:00,9.362,9.362,1
2025/6/17 14:00,8.906,8.906,1
2025/6/17 15:00,8.84,8.84,1
2025/6/17 16:00,8.25,8.25,1
2025/6/17 17:00,8.013,8.013,1
2025/6/17 18:00,7.756,7.756,1
2025/6/17 19:00,7.5,7.5,1
2025/6/17 20:00,7.331,7.331,1
2025/6/17 21:00,7.3,7.3,1
2025/6/17 22:00,7.188,7.188,1
2025/6/17 23:00,7.313,7.313,1
2025/6/18 0:00,7.243,7.243,1
2025/6/18 8:00,6.7,6.7,1
2025/6/18 9:00,6.447,6.447,1
2025/6/18 10:00,6.133,6.133,1
2025/6/18 11:00,6.038,6.038,1
2025/6/18 12:00,6,6,1
2025/6/18 13:00,5.987,5.987,1
2025/6/18 14:00,6.131,6.131,0
2025/6/18 15:00,6.2,6.2,0
2025/6/18 16:00,6.36,6.36,0
2025/6/18 17:00,6.507,6.507,0
2025/6/18 18:00,6.394,6.394,0
2025/6/18 19:00,6.467,6.467,0
2025/6/18 20:00,6.387,6.387,0
2025/6/18 22:00,6.353,6.353,0
2025/6/18 23:00,6.4,6.4,0
2025/6/19 0:00,6.233,6.233,0
2025/6/19 1:00,6.231,6.231,0
2025/6/19 2:00,6.28,6.28,0
2025/6/19 3:00,6.469,6.469,0
2025/6/19 4:00,6.347,6.347,0
2025/6/19 5:00,5.9,5.9,0
2025/6/19 7:00,6.1,6.1,0
2025/6/19 8:00,5.981,5.981,0
2025/6/19 9:00,6.162,6.162,0
2025/6/19 10:00,6.2,6.2,0
2025/6/19 11:00,6.094,6.094,0
2025/6/19 12:00,6.077,6.077,0
2025/6/19 13:00,6.1,6.1,0
2025/6/19 14:00,6.407,6.407,0
2025/6/19 15:00,6.493,6.493,0
2025/6/19 16:00,6.794,6.794,0
2025/6/19 17:00,6.953,6.953,0
2025/6/19 18:00,6.88,6.88,0
2025/6/19 19:00,6.906,6.906,0
2025/6/19 20:00,6.833,6.833,0
2025/6/19 21:00,6.864,6.864,0
2025/6/19 22:00,6.8,6.8,0
2025/6/19 23:00,6.781,6.781,0
2025/6/20 0:00,6.75,6.75,0
2025/6/20 1:00,6.744,6.744,0
2025/6/20 2:00,6.533,6.533,0
2025/6/20 3:00,6.4,6.4,0
2025/6/20 4:00,6.473,6.473,0
2025/6/20 5:00,6.4,6.4,0
2025/6/20 6:00,6.406,6.406,0
2025/6/20 8:00,6.525,6.525,0
2025/6/20 9:00,6.738,6.738,0
2025/6/20 10:00,6.467,6.467,0
2025/6/20 11:00,6.612,6.612,0
2025/6/20 12:00,6.606,6.606,0
2025/6/20 13:00,6.429,6.429,0
2025/6/20 14:00,6.381,6.381,0
2025/6/20 15:00,6.647,6.647,0
2025/6/20 16:00,6.992,6.992,0
2025/6/20 17:00,7,7,0
2025/6/20 18:00,6.84,6.84,4
2025/6/20 19:00,6.993,6.993,4
2025/6/20 20:00,7.094,7.094,4
2025/6/20 21:00,7.114,7.114,4
2025/6/20 22:00,7.006,7.006,4
2025/6/20 23:00,7.153,7.153,4
2025/6/21 0:00,6.787,6.787,4
2025/6/21 1:00,7.173,7.173,4
2025/6/21 2:00,7.2,7.2,4
2025/6/21 3:00,7.92,7.92,4
2025/6/21 4:00,7.58,7.58,4
2025/6/21 5:00,8.28,8.28,4
2025/6/21 6:00,8.78,8.78,4
2025/6/21 7:00,8.45,8.45,4
2025/6/21 8:00,8.8,8.8,4
2025/6/21 9:00,9.093,9.093,4
2025/6/21 10:00,9.45,9.45,4
2025/6/21 11:00,9.311,9.311,4
2025/6/21 12:00,9.912,9.912,4
2025/6/21 13:00,10.671,10.671,4
2025/6/21 14:00,10.831,10.831,4
2025/6/21 15:00,11.88,11.88,4
2025/6/21 16:00,12.194,12.194,4
2025/6/21 17:00,12.453,12.453,0
2025/6/21 18:00,12.492,12.492,0
2025/6/21 19:00,12.5,12.5,0
2025/6/21 20:00,12.494,12.494,0
2025/6/21 21:00,12.567,12.567,0
2025/6/21 22:00,12.456,12.456,0
2025/6/21 23:00,13.375,13.375,0
2025/6/22 0:00,13.365,13.365,0
2025/6/22 1:00,13.456,13.456,0
2025/6/22 2:00,13.593,13.593,0
2025/6/22 3:00,13.7,13.7,0
2025/6/22 4:00,13.662,13.662,0
2025/6/22 5:00,13.562,13.562,0
2025/6/22 6:00,13.633,13.633,0
2025/6/22 7:00,14.256,14.256,0
2025/6/22 8:00,14.333,14.333,0
2025/6/22 9:00,14.362,14.362,0
2025/6/22 10:00,14.169,14.169,0
2025/6/22 12:00,14.237,14.237,0
2025/6/22 13:00,14.3,14.3,0
2025/6/22 14:00,14.1,14.1,0
2025/6/22 15:00,13.947,13.947,0
2025/6/22 16:00,13.931,13.931,0
2025/6/22 17:00,14.273,14.273,0
2025/6/22 18:00,14.427,14.427,0
2025/6/22 19:00,14.667,14.667,0
2025/6/22 20:00,14.6,14.6,0
2025/6/22 21:00,14.627,14.627,0
2025/6/22 22:00,14.594,14.594,0
2025/6/22 23:00,14.631,14.631,0
2025/6/23 0:00,14.427,14.427,0
2025/6/23 1:00,14.273,14.273,0
2025/6/23 2:00,14.927,14.927,0
2025/6/23 3:00,15.121,15.121,0
2025/6/23 4:00,15.3,15.3,0
2025/6/23 5:00,14.981,14.981,0
2025/6/23 6:00,15.52,15.52,0
